Park Name,State,Acres,Latitude,Longitude,Mammal,Bird,Reptile,Amphibian,Fish,Vascular Plant,Spider/Scorpion,Insect,Invertebrate,Fungi,Nonvascular Plant,Crab/Lobster/Shrimp,Slug/Snail,Algae
Death Valley National Park,"CA, NV",4740912,36.24,-116.82,212,531,90,71,9,2258,32,903,18,123,22,38,72,60
Denali National Park and Preserve,AK,3372402,63.33,-150.5,43,179,0,1,14,841,0,51,3,29,159,0,0,0
Dry Tortugas National Park,FL,64701,24.63,-82.87,6,283,5,0,281,231,0,0,42,0,0,0,0,0
Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,39,134,0,1,17,688,0,0,0,474,0,0,0,0
Glacier Bay National Park and Preserve,AK,3224840,58.5,-137.0,58,258,3,5,359,822,3,35,117,2,98,96,37,64
Glacier National Park,MT,1013572,48.8,-114.0,69,277,4,6,27,1266,0,197,2,276,404,6,20,2
Grand Teton National Park,WY,309995,43.73,-110.8,74,266,5,7,21,1463,1,154,5,28,0,1,4,1
Great Basin National Park,NV,77180,38.98,-114.3,103,330,58,22,21,1549,18,456,29,15,16,6,30,0
Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,68,240,8,6,6,622,0,1,0,0,1,0,0,0
Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,94,272,51,61,107,2174,104,2414,84,632,528,10,92,0
Haleakala National Park,HI,29094,20.72,-156.17,15,44,10,3,6,1000,46,1061,37,66,227,18,47,0
Hawaii Volcanoes National Park,HI,323431,19.38,-155.2,15,78,13,4,4,1212,101,1429,173,7,135,56,71,0
Hot Springs National Park,AR,5550,34.51,-93.05,52,387,52,27,90,1252,0,15,22,0,18,9,2,24
Isle Royale National Park,MI,571790,48.1,-88.55,26,261,5,13,63,993,0,0,21,0,1,14,0,0
Joshua Tree National Park,CA,789745,33.79,-115.9,67,301,52,5,1,1314,153,342,10,38,6,0,0,5
Katmai National Park and Preserve,AK,3674530,58.5,-155.0,54,222,0,1,44,732,0,7,29,105,20,4,7,0
Kenai Fjords National Park,AK,669983,59.92,-149.65,55,235,0,1,42,673,0,3,42,2,0,0,4,0
Kobuk Valley National Park,AK,1750717,67.55,-159.28,38,125,0,1,26,476,0,0,0,333,26,0,0,0
Lake Clark National Park and Preserve,AK,2619733,60.97,-153.42,50,193,0,1,55,1197,0,3,6,220,281,1,0,0
Lassen Volcanic National Park,CA,106372,40.49,-121.51,100,245,22,17,20,1046,0,95,18,51,160,15,6,2
Mammoth Cave National Park,KY,52830,37.18,-86.1,56,210,42,33,122,1708,2,270,54,0,1,1,0,0
Mesa Verde National Park,CO,52122,37.18,-108.49,86,237,21,8,0,891,0,0,0,0,0,0,0,0
Mount Rainier National Park,WA,235625,46.85,-121.75,69,187,5,16,23,1008,0,47,0,31,357,0,0,0
Petrified Forest National Park,AZ,93533,35.07,-109.78,62,244,21,8,0,516,0,0,0,1,1,0,0,0
Redwood National Park,CA,112512,41.3,-124.0,154,501,39,33,247,2257,7,744,334,1363,251,122,147,111
Rocky Mountain National Park,CO,265828,40.4,-105.58,74,277,3,5,12,1114,22,676,48,306,416,39,10,150
Saguaro National Park,AZ,91440,32.25,-110.5,102,246,62,10,0,1411,0,0,0,2,0,1,0,0
Sequoia and Kings Canyon National Parks,CA,865952,36.43,-118.68,89,220,24,13,19,1630,0,0,0,0,0,0,0,0
Shenandoah National Park,VA,199045,38.53,-78.35,63,268,38,40,41,2761,4,318,2,765,350,3,2,0
Theodore Roosevelt National Park,ND,70447,46.97,-103.45,66,223,13,8,32,680,2,73,3,1,61,1,2,0
Voyageurs National Park,MN,218200,48.5,-92.88,63,238,6,15,58,1019,0,33,7,3,11,0,0,0
Wind Cave National Park,SD,28295,43.57,-103.48,89,235,12,7,8,871,0,105,0,43,0,0,25,0
Wrangell - St Elias National Park and Preserve,AK,8323148,61.0,-142.0,62,211,1,2,93,1357,0,58,4,0,7,0,1,0
Yosemite National Park,CA,761266,37.83,-119.5,88,270,22,15,10,1683,0,0,0,0,0,0,0,0
Zion National Park,UT,146598,37.3,-113.05,80,301,30,7,15,1363,0,0,0,0,0,0,0,0
Pinnacles National Park,CA,26606,36.48,-121.16,60,170,29,10,6,731,10,323,31,27,0,8,11,0
Channel Islands National Park,CA,249561,34.01,-119.42,44,357,11,4,273,824,1,2,196,0,68,11,33,61
